Annual Total,Coal Production,Natural Gas (Dry) Production,Crude Oil Production,Natural Gas Plant Liquids Production,Total Fossil Fuels Production,Nuclear Electric Power Production,Hydroelectric Power Production,Geothermal Energy Production,Solar Energy Production,Wind Energy Production,Biomass Energy Production,Total Renewable Energy Production,Total Primary Energy Production
1949,11.973882,5.377243,10.683252,0.706102,28.740479,0,1.424722,Not Available,Not Available,Not Available,1.549262,2.973984,31.714463
1950,14.060135,6.232975,11.446729,0.813366,32.553205,0,1.415411,Not Available,Not Available,Not Available,1.562307,2.977718,35.530922
1951,14.419325,7.415733,13.036724,0.910336,35.782118,0,1.423795,Not Available,Not Available,Not Available,1.534669,2.958464,38.740582
1952,12.734313,7.963599,13.281049,0.985701,34.964662,0,1.465812,Not Available,Not Available,Not Available,1.474369,2.940181,37.904843
1953,12.277746,8.338838,13.671076,1.050702,35.338361,0,1.412859,Not Available,Not Available,Not Available,1.418601,2.83146,38.169821
1954,10.542448,8.681785,13.42693,1.101065,33.752228,0,1.359772,Not Available,Not Available,Not Available,1.394327,2.754099,36.506328
1955,12.369608,9.344668,14.409682,1.222838,37.346797,0,1.359844,Not Available,Not Available,Not Available,1.424143,2.783987,40.130784
1956,13.306334,10.002147,15.180241,1.264288,39.75301,0,1.434711,Not Available,Not Available,Not Available,1.415871,2.850582,42.603591
1957,13.061393,10.605254,15.178026,1.273767,40.11844,0.000112,1.515613,Not Available,Not Available,Not Available,1.333581,2.849194,42.967746
1958,10.783088,10.942235,14.204125,1.275674,37.205122,0.001915,1.591967,Not Available,Not Available,Not Available,1.323123,2.91509,40.122127
1959,10.777984,11.951826,14.932622,1.369632,39.032065,0.002187,1.548465,Not Available,Not Available,Not Available,1.352874,2.901339,41.935591
1960,10.817398,12.656133,14.934611,1.446688,39.854831,0.006026,1.607975,0.000359,Not Available,Not Available,1.31987,2.928204,42.789061
1961,10.447091,13.104734,15.206196,1.530668,40.28869,0.019678,1.656463,0.001001,Not Available,Not Available,1.294762,2.952226,43.260594
1962,10.90056,13.716861,15.521896,1.570579,41.709896,0.026394,1.816141,0.001061,Not Available,Not Available,1.300242,3.117444,44.853735
1963,11.849229,14.512781,15.965793,1.686928,44.014731,0.038147,1.771355,0.00176,Not Available,Not Available,1.323316,3.096431,47.149309
1964,12.523881,15.298396,16.163568,1.777335,45.76318,0.039819,1.886314,0.002132,Not Available,Not Available,1.336802,3.225248,49.028247
1965,13.055285,15.775441,16.521381,1.853211,47.205318,0.043164,2.059077,0.001978,Not Available,Not Available,1.334761,3.395816,50.644298
1966,13.467679,17.010742,17.561025,1.971083,50.010529,0.064158,2.061519,0.001958,Not Available,Not Available,1.368985,3.432462,53.507149
1967,13.825487,17.943168,18.651304,2.148364,52.568322,0.088456,2.346664,0.0033,Not Available,Not Available,1.340249,3.690213,56.346991
1968,13.608678,19.067853,19.308444,2.289294,54.274269,0.141534,2.348629,0.004532,Not Available,Not Available,1.419495,3.772656,58.188458
1969,13.863346,20.446462,19.556156,2.385951,56.251915,0.153722,2.647983,0.006422,Not Available,Not Available,1.440487,4.094892,60.500528
1970,14.607064,21.66567,20.40121,2.478196,59.152139,0.239347,2.633547,0.005511,Not Available,Not Available,1.430962,4.070021,63.461507
1971,13.185523,22.279791,20.032701,2.512654,58.01067,0.412939,2.824151,0.005739,Not Available,Not Available,1.432323,4.262213,62.685822
1972,14.091685,22.207545,20.041134,2.563714,58.904079,0.583752,2.863865,0.015079,Not Available,Not Available,1.503065,4.382009,63.869839
1973,13.992126,22.187349,19.493237,2.53452,58.207232,0.910177,2.861448,0.020422,Not Available,Not Available,1.529068,4.410938,63.528346
1974,14.074451,21.210145,18.574993,2.434819,56.294408,1.272083,3.17658,0.02561,Not Available,Not Available,1.539662,4.741852,62.308343
1975,14.989315,19.640343,17.729318,2.337943,54.696919,1.899798,3.154607,0.03378,Not Available,Not Available,1.498734,4.68712,61.283838
1976,15.653687,19.480319,17.261844,2.287714,54.683564,2.111121,2.976265,0.037513,Not Available,Not Available,1.713373,4.727151,61.521836
1977,15.754741,19.565321,17.453737,2.285651,55.059451,2.701762,2.333252,0.037382,Not Available,Not Available,1.838332,4.208966,61.970179
1978,14.909809,19.485219,18.433653,2.201959,55.03064,3.024126,2.936983,0.030851,Not Available,Not Available,2.037605,5.00544,63.060205
1979,17.539583,20.076347,18.103598,2.232325,57.951852,2.775827,2.930686,0.040262,Not Available,Not Available,2.151906,5.122854,65.850534
1980,18.597726,19.9076,18.248917,2.224841,58.979084,2.739169,2.900144,0.052699,Not Available,Not Available,2.4755,5.428342,67.146595
1981,18.376773,19.699155,18.146019,2.266284,58.488231,3.007589,2.757968,0.059437,Not Available,Not Available,2.596283,5.413688,66.909508
1982,18.638773,18.319025,18.308947,2.149202,57.415947,3.131148,3.265558,0.050627,Not Available,Not Available,2.663452,5.979637,66.526732
1983,17.246671,16.593389,18.391794,2.136317,54.368171,3.202549,3.52726,0.06391,Not Available,0.000028,2.904414,6.495612,64.066333
1984,19.719216,18.007933,18.848237,2.233806,58.809192,3.552531,3.385811,0.080811,0.000055,0.000068,2.97112,6.437864,68.799586
1985,19.325166,16.98038,18.992407,2.203767,57.501721,4.075563,2.970192,0.097421,0.000111,0.00006,3.016233,6.084017,67.6613
1986,19.509466,16.540801,18.375862,2.112878,56.539007,4.380109,3.071179,0.107677,0.000147,0.000044,2.932095,6.11114,67.030256
1987,20.141104,17.135819,17.674787,2.178933,57.130643,4.753933,2.634508,0.11227,0.000109,0.000037,2.874884,5.621807,67.506383
1988,20.737639,17.598597,17.278931,2.23069,57.845857,5.586968,2.334265,0.106338,0.000094,0.000009,3.016049,5.456754,68.889579
1989,21.360178,17.847275,16.116883,2.123367,57.447703,5.602161,2.837263,0.161539,0.054449,0.022033,3.159357,6.234641,69.284505
1990,22.487548,18.326155,15.571185,2.138298,58.523186,6.10435,3.046391,0.170747,0.058748,0.029007,2.735112,6.040005,70.667542
1991,21.636424,18.228736,15.700826,2.265161,57.831148,6.422132,3.015943,0.177626,0.061601,0.030796,2.781797,6.067763,70.321044
1992,21.694132,18.3751,15.222863,2.322585,57.614681,6.479206,2.617436,0.178699,0.062856,0.029863,2.931678,5.820533,69.914419
1993,20.335654,18.584037,14.49439,2.36619,55.78027,6.410499,2.891613,0.185673,0.065164,0.030987,2.908446,6.081883,68.272652
1994,22.202083,19.348013,14.102563,2.349386,58.002045,6.693877,2.683457,0.173464,0.067097,0.03556,3.027534,5.987113,70.683035
1995,22.12955,19.082245,13.886754,2.397846,57.496395,7.075436,3.205307,0.152057,0.068199,0.03263,3.099082,6.557275,71.129107
1996,22.790148,19.344268,13.722899,2.480343,58.337658,7.086674,3.589656,0.163359,0.069095,0.03344,3.155301,7.010851,72.435183
1997,23.309614,19.393851,13.65802,2.444798,58.806283,6.596992,3.640458,0.166698,0.068124,0.033581,3.107908,7.016768,72.420043
1998,24.045198,19.613295,13.23513,2.372294,59.265918,7.067809,3.297054,0.16845,0.067401,0.030853,2.92893,6.492687,72.826413
1999,23.295084,19.340703,12.451046,2.472965,57.559797,7.610256,3.267575,0.170921,0.06601,0.045894,2.965132,6.515532,71.685585
2000,22.735478,19.661529,12.358101,2.551466,57.306574,7.862349,2.811116,0.164364,0.063406,0.057057,3.005661,6.101604,71.270527
2001,23.54708,20.165567,12.281566,2.490533,58.484745,8.028853,2.241858,0.164461,0.061597,0.069617,2.624162,5.161695,71.675294
2002,22.732237,19.382055,12.160213,2.502206,56.776711,8.145429,2.689017,0.171164,0.05989,0.105334,2.705406,5.730811,70.652951
2003,22.093652,19.633304,11.959568,2.296059,55.982583,7.959622,2.792539,0.173445,0.058327,0.113273,2.804778,5.942362,69.884567
2004,22.852099,19.074254,11.550086,2.407581,55.88402,8.222774,2.688468,0.178147,0.058247,0.141664,2.996017,6.062542,70.169336
2005,23.185189,18.556015,10.974152,2.279946,54.995301,8.16081,2.702942,0.180703,0.057701,0.178088,3.101186,6.22062,69.37673
2006,23.78951,19.021706,10.766775,2.298717,55.876707,8.214626,2.869035,0.1812,0.060477,0.263738,3.211515,6.585965,70.677299
2007,23.492742,19.786209,10.741447,2.348716,56.369113,8.458589,2.446389,0.185774,0.065229,0.340503,3.47208,6.509975,71.337677
2008,23.851368,20.702884,10.613302,2.359299,57.526852,8.426491,2.511108,0.192433,0.073579,0.545548,3.86825,7.190918,73.144261
2009,21.623721,21.13945,11.340126,2.508252,56.611549,8.35522,2.668824,0.200185,0.077341,0.721129,3.956617,7.624096,72.590865
2010,22.038226,21.805763,11.610472,2.704829,58.15929,8.434433,2.538541,0.207979,0.090007,0.923427,4.552532,8.312486,74.906209
2011,22.221407,23.40572,12.012295,2.890075,60.529497,8.268698,3.102852,0.212311,0.110354,1.167636,4.712436,9.305589,78.103785
2012,20.676893,24.610065,13.84866,3.162126,62.297744,8.061822,2.628702,0.211592,0.15559,1.340059,4.553559,8.889502,79.249068
2013,20.001304,24.859072,15.871824,3.451386,64.183587,8.244433,2.562382,0.214006,0.225486,1.601359,4.834795,9.438028,81.866048
2014,20.285705,26.718073,18.615618,4.005085,69.62448,8.337559,2.466317,0.214474,0.337397,1.72736,5.0521,9.797649,87.759688
2015,17.946095,28.066882,19.701839,4.475993,70.190808,8.336886,2.319932,0.211756,0.426543,1.776353,5.031349,9.765932,88.293626
2016,14.667089,27.576023,18.529022,4.664785,65.436918,8.426753,2.471371,0.209541,0.569992,2.094687,5.131757,10.477348,84.341019
2017,15.625377,28.289335,19.550484,4.987096,68.452291,8.418968,2.765466,0.210154,0.776521,2.341619,5.165713,11.259473,88.130732
2018,15.363442,31.882148,22.812423,5.726973,75.784987,8.438068,2.661383,0.208769,0.914505,2.480728,5.314147,11.579533,95.802588
2019,14.255763,35.187183,25.612481,6.351729,81.407156,8.451852,2.561788,0.201192,1.016276,2.633058,5.215002,11.627316,101.486324
2020,10.703214,34.731981,23.573696,6.804761,75.813652,8.251075,2.500996,0.202805,1.211326,2.962703,4.709773,11.587603,95.65233
2021,11.596284,35.794956,23.401381,7.098605,77.891226,8.130913,2.225016,0.204784,1.520005,3.344772,4.913616,12.208194,98.230333
2022,12.034556,37.105513,24.710491,7.674232,81.524793,8.046361,2.317123,0.213866,1.869997,3.845474,5.042046,13.288507,102.859661
